class_idx,voxel,bootstraps,betas,hemi,vroinames,eccentricity,angle,size,local_ori,local_sf,sigma_v,sigma_v_squared
12,106,1,0.046666667,lh,V1,2.9771530628204346,4.687377104058884,0.21164071559906,0.0818101637484243,0.3207526245381251,1.1227619067818992,1.436048281383318
13,106,1,1.7666667,lh,V1,2.9771530628204346,4.687377104058884,0.21164071559906,0.0818101637484243,0.588046478319896,1.1227619067818992,1.436048281383318
14,106,1,-1.35,lh,V1,2.9771530628204346,4.687377104058884,0.21164071559906,0.0818101637484243,1.0691754151270838,1.1227619067818992,1.436048281383318
15,106,1,3.0466666,lh,V1,2.9771530628204346,4.687377104058884,0.21164071559906,0.0818101637484243,1.977974517985105,1.1227619067818992,1.436048281383318
16,106,1,2.3,lh,V1,2.9771530628204346,4.687377104058884,0.21164071559906,0.0818101637484243,3.688655182188439,1.1227619067818992,1.436048281383318
17,106,1,3.8533332,lh,V1,2.9771530628204346,4.687377104058884,0.21164071559906,0.0818101637484243,6.842722656813336,1.1227619067818992,1.436048281383318
18,106,1,-6.3333335,lh,V1,2.9771530628204346,4.687377104058884,0.21164071559906,2.4380046539407694,0.3024084745257211,1.1227619067818992,1.436048281383318
19,106,1,3.27,lh,V1,2.9771530628204346,4.687377104058884,0.21164071559906,2.4380046539407694,0.529214830420012,1.1227619067818992,1.436048281383318
20,106,1,1.66,lh,V1,2.9771530628204346,4.687377104058884,0.21164071559906,2.4380046539407694,1.058429660840024,1.1227619067818992,1.436048281383318
21,106,1,1.3566667,lh,V1,2.9771530628204346,4.687377104058884,0.21164071559906,2.4380046539407694,1.965655084417188,1.1227619067818992,1.436048281383318
22,106,1,2.21,lh,V1,2.9771530628204346,4.687377104058884,0.21164071559906,2.4380046539407694,3.704503812940085,1.1227619067818992,1.436048281383318
23,106,1,0.92,lh,V1,2.9771530628204346,4.687377104058884,0.21164071559906,2.4380046539407694,6.8797927954601565,1.1227619067818992,1.436048281383318
24,106,1,1.2566667,lh,V1,2.9771530628204346,4.687377104058884,0.21164071559906,1.261999446845634,1.965655084417188,1.1227619067818992,1.436048281383318
25,106,1,2.3466666,lh,V1,2.9771530628204346,4.687377104058884,0.21164071559906,0.4724172074461111,1.965655084417188,1.1227619067818992,1.436048281383318
26,106,1,1.99,lh,V1,2.9771530628204346,4.687377104058884,0.21164071559906,2.8327957736405307,1.965655084417188,1.1227619067818992,1.436048281383318
27,106,1,-0.84,lh,V1,2.9771530628204346,4.687377104058884,0.21164071559906,2.043213534241008,1.965655084417188,1.1227619067818992,1.436048281383318
